WBAL,Power,HRM
10.923,174.5,144
10.923,172.2,144
10.923,168.1,144
10.923,176.1,144
10.917,193.5,144
10.893,211.3,144
10.894,201.1,144
10.894,193.1,144
10.894,182.5,144
10.894,185.8,145
10.894,187.9,145
10.895,181.4,146
10.895,181.2,146
10.895,186.6,147
10.895,193.8,147
10.895,194.9,147
10.895,191,148
10.896,185.5,148
10.896,180.7,148
10.896,180.4,149
10.896,172.7,149
10.896,168.8,149
10.897,169.4,149
10.897,171.7,148
10.897,185.9,147
10.897,179.9,147
10.897,180,146
10.897,187.5,146
10.898,177.7,146
10.898,179.4,146
10.894,194.2,146
10.894,190.6,146
10.894,180.3,147
10.895,189.1,147
10.895,187.6,147
10.895,180.3,148
10.895,166.6,148
10.895,169.8,149
10.895,172.4,149
10.896,176.2,149
10.896,178.6,148
10.896,178.3,147
10.896,175.7,146
10.896,177.3,146
10.897,173.7,145
10.897,173.8,145
10.897,173.9,145
10.897,173.5,145
10.896,189.7,146
10.896,189.9,147
10.897,192.9,147
10.889,203,149
10.889,191,150
10.889,178,150
10.889,176.5,151
10.890,182.2,152
10.885,196.1,152
10.884,201.1,153
10.884,187,154
10.884,175,154
10.885,184.5,154
10.885,189.3,154
10.885,192.6,153
10.885,179.8,153
10.885,174.9,152
10.886,176,152
10.886,189.5,152
10.886,188.2,152
10.886,187.6,153
10.886,180.3,153
10.887,181.2,153
10.887,182.6,154
10.887,170.3,154
10.887,168.1,154
10.887,166.6,154
10.888,168.3,153
10.888,177.6,152
10.888,185.8,151
10.888,187.9,150
10.888,184.5,149
10.889,188.7,148
10.889,179.9,148
10.889,166.4,147
10.889,168.2,147
10.889,162.1,148
10.889,166.1,148
10.890,165.5,149
10.890,164.8,149
10.890,178.9,148
10.890,185.9,147
10.890,187,147
10.891,182.5,147
10.891,179.7,148
10.891,166.9,149
10.891,164.4,150
10.872,194.2,150
10.873,185.6,150
10.873,179.8,149
10.873,179.9,149
10.873,177.5,148
10.873,180.7,149
10.874,184.9,150
10.874,189.9,150
10.874,186,151
10.874,177.5,151
10.875,174.7,151
10.875,182.9,151
10.875,169.9,151
10.875,163.5,151
10.875,172.7,151
10.876,177.4,150
10.875,191.7,150
10.875,154.8,150
10.875,141.9,150
10.876,170,150
10.812,219.5,150
10.758,239.2,150
10.717,243.1,150
10.675,245.1,151
10.676,172.5,152
10.667,193.3,153
10.636,215.1,153
10.567,244.6,155
10.512,252.8,155
10.457,256.9,157
10.458,219.4,157
10.458,212.7,158
10.459,207.9,159
10.427,222.9,159
10.389,233.5,158
10.388,220.2,158
10.385,214.6,158
10.371,217.3,158
10.367,213.7,159
10.335,225.8,159
10.336,212.9,159
10.337,206.5,160
10.339,194.7,160
10.340,192.4,160
10.341,198.2,159
10.342,200.1,158
10.343,199.5,158
10.344,195.3,157
10.345,186.1,157
10.347,192.6,156
10.330,207.8,156
10.284,229.9,156
10.236,241.9,155
10.204,240,155
10.195,228,156
10.187,221,156
10.159,228,157
10.132,230.5,157
10.118,225.7,157
10.107,221.4,158
10.097,219.2,158
10.096,213.1,158
10.091,212.5,158
10.074,217.8,158
10.057,220.9,158
10.047,218.9,158
10.043,214.5,159
10.035,214.7,160
10.025,215.9,160
10.016,215.4,161
10.005,216.7,161
9.989,219.9,162
9.978,218.9,162
9.979,208.5,162
9.981,198.7,162
9.983,201.9,162
9.977,207.4,162
9.976,207.2,161
9.978,205.1,161
9.980,202.6,161
9.944,222.8,160
9.914,229.9,160
9.883,233.4,160
9.885,212.7,160
9.887,198.4,161
9.889,197.2,161
9.891,193.6,160
9.893,192.3,159
9.895,194.6,158
9.841,227.8,157
9.783,246.4,157
9.769,233.7,157
9.771,218.9,157
9.760,218.4,157
9.738,224.2,158
9.715,227.1,158
9.693,228.1,159
9.695,209.5,159
9.697,206.8,160
9.686,212.9,160
9.666,219.9,160
9.653,220,161
9.630,225.5,161
9.628,217.2,162
9.622,215.1,162
9.615,215.1,163
9.593,222,163
9.586,218.5,163
9.583,214.3,163
9.581,212.1,164
9.583,206.1,164
9.574,211.5,164
9.571,210.8,164
9.567,211.4,164
9.567,209.2,163
9.570,206.6,163
9.572,200.8,163
9.574,200.9,162
9.547,217.9,162
9.496,238,161
9.466,238,161
9.467,222.5,161
9.469,203.7,161
9.470,205.4,162
9.451,216.2,162
9.427,223.6,162
9.428,215.3,162
9.422,214.6,163
9.425,209.8,163
9.410,215.9,164
9.404,215,164
9.405,211,164
9.398,213,164
9.379,219.5,164
9.374,216.2,164
9.358,220.1,164
9.348,219.1,164
9.334,220.5,164
9.332,215.3,164
9.317,219.1,165
9.309,217.6,164
9.299,217.8,164
9.283,220.4,164
9.277,217.2,164
9.268,217.1,165
9.248,222.5,165
9.228,225.3,165
9.209,226.6,165
9.206,218.8,165
9.203,214.9,165
9.197,214.5,165
9.182,218.7,166
9.178,215.4,166
9.173,214.2,166
9.168,214.1,166
9.157,216.5,166
9.160,202.3,166
9.163,199.1,166
9.153,208.6,166
9.153,208.8,165
9.135,217.4,165
9.125,217.7,164
9.115,217.8,164
9.102,219.9,164
9.088,221,165
9.073,222,165
9.063,220.5,165
9.058,216.7,165
9.043,219.9,164
9.040,215.9,164
9.038,213,163
9.041,208,163
9.045,205.5,163
9.036,211.2,163
9.013,221.6,162
9.006,218.3,161
9.002,215.7,161
8.997,214.3,161
9.001,203.7,161
9.004,196.8,161
8.974,217.4,161
8.934,233.2,161
8.906,235.1,161
8.909,219.6,161
8.913,205.3,161
8.917,194.1,161
8.920,186.1,161
8.924,188.5,161
8.927,194.8,161
8.931,193.4,160
8.935,196.7,160
8.907,216.3,161
8.870,231.2,161
8.873,204.6,161
8.877,196.3,162
8.881,197.1,162
8.860,213.6,162
8.863,209.3,162
8.844,218.6,163
8.848,211.8,164
8.840,213.9,165
8.828,217.5,165
8.816,219.2,166
8.764,240.1,166
8.690,261.6,167
8.694,178.8,167
8.698,167.4,168
8.696,189.2,168
8.673,210.6,168
8.631,230.8,168
8.590,240.4,168
8.509,265.2,169
8.433,275.1,169
8.357,280.5,169
8.336,255.3,169
8.327,237.1,170
8.298,238.1,169
8.247,249,170
8.212,247,169
8.191,239,169
8.171,234.5,169
8.150,232.8,169
8.122,235.4,169
8.097,235.2,169
8.044,249.1,168
7.987,258,168
7.940,257.5,167
7.910,249.3,167
7.876,246.6,167
7.842,245.3,167
7.786,256.2,167
7.747,252.6,168
7.709,250.8,168
7.678,246.4,169
7.642,246.7,169
7.594,252.3,170
7.561,248.2,170
7.528,246.1,170
7.484,250.5,170
7.440,252.8,170
7.420,242.4,170
7.401,236.2,170
